REPOSITORIO	Fonte de Dados
http://periodicos.unb.br/index.php/e-bfis/oai?verb=ListSets	e-Boletim da Física
http://periodicos.unb.br/index.php/erbel/oai?verb=ListSets	Ecolinguística: Revista brasileira de ecologia e linguagem
http://periodicos.unb.br/index.php/emtempos/oai?verb=ListSets	Em tempo de histórias
http://periodicos.unb.br/index.php/estudos/oai?verb=ListSets	Estudos de Literatura Brasileira Contemporânea
http://periodicos.unb.br/index.php/interethnica/oai?verb=ListSets	Interethnic@ - Revista de estudos em relações interétnicas
http://periodicos.unb.br/index.php/hh/oai?verb=ListSets	história, histórias
http://periodicos.unb.br/index.php/insurgencia/oai?verb=ListSets	InSURgência: revista de direitos e movimentos sociais
http://periodicos.unb.br/index.php/lcapital/oai?verb=ListSets	Revista Letra Capital
http://periodicos.unb.br/index.php/linhascriticas/oai?verb=ListSets	Linhas Críticas
http://periodicos.unb.br/index.php/MED/oai?verb=ListSets	Meridiano 47 - Journal of Global Studies
http://periodicos.unb.br/index.php/metagraphias/oai?verb=ListSets	METAgraphias
http://periodicos.unb.br/index.php/mtc/oai?verb=ListSets	Mundo do trabalho contemporâneo
http://periodicos.unb.br/index.php/Musica/oai?verb=ListSets	Música em Contexto
http://periodicos.unb.br/index.php/paranoa/oai?verb=ListSets	Paranoá: cadernos de arquitetura e urbanismo
http://periodicos.unb.br/index.php/participacao/oai?verb=ListSets	Participação
http://periodicos.unb.br/index.php/physicae/oai?verb=ListSets	Physicae Organum : Revista dos Estudantes de Física da Universidade de Brasília
http://periodicos.unb.br/index.php/polemos/oai?verb=ListSets	Pólemos - Revista de Estudantes de Filosofia da Universidade de Brasília
http://periodicos.unb.br/index.php/revistapos/oai?verb=ListSets	Pós - Revista Brasiliense de Pós-Graduação em Ciências Sociais
http://periodicos.unb.br/index.php/revistaptp/oai?verb=ListSets	Psicologia: teoria e pesquisa
http://periodicos.unb.br/index.php/rbcp/oai?verb=ListSets	Revista Brasileira de Ciência Política
http://periodicos.unb.br/index.php/ling/oai?verb=ListSets	Revista Brasileira de Linguística Antropológica
http://periodicos.unb.br/index.php/revistacenario/oai?verb=ListSets	Revista Cenário
http://periodicos.unb.br/index.php/cerrados/oai?verb=ListSets	Revista Cerrados
http://periodicos.unb.br/index.php/design-tecnologia-sociedade/oai?verb=ListSets	Revista de Design, Tecnologia e Sociedade
http://periodicos.unb.br/index.php/rdern/oai?verb=ListSets	Revista de Direito, Estado e Recursos Naturais
http://periodicos.unb.br/index.php/repam/oai?verb=ListSets	Revista de Estudos e Pesquisas sobre as Américas
http://periodicos.unb.br/index.php/fmc/oai?verb=ListSets	Revista de Filosofia Moderna e Contemporânea
http://periodicos.unb.br/index.php/enedex/oai?verb=ListSets	Revista Direito & Sensibilidade
http://periodicos.unb.br/index.php/revistadoceam/oai?verb=ListSets	Revista do CEAM
http://periodicos.unb.br/index.php/redunb/oai?verb=ListSets	Revista dos Estudantes de Direito da UnB
http://periodicos.unb.br/index.php/rep/oai?verb=ListSets	Revista dos Estudantes de Públicas - REP
http://periodicos.unb.br/index.php/ciga/oai?verb=ListSets	Revista Eletrônica: Tempo - Técnica - Território / Eletronic Magazine: Time - Technique - Territory
http://periodicos.unb.br/index.php/regis/oai?verb=ListSets	Revista em Gestão, Inovação e Sustentabilidade
http://periodicos.unb.br/index.php/esteticaesemiotica/oai?verb=ListSets	Revista Estética e Semiótica
http://periodicos.unb.br/index.php/horizontesla/oai?verb=ListSets	Revista Horizontes de Linguistica Aplicada
http://periodicos.unb.br/index.php/RICI/oai?verb=ListSets	Revista Ibero-Americana de Ciência da Informação
http://periodicos.unb.br/index.php/intercambio/oai?verb=ListSets	Revista Intercâmbio dos Congressos de Humanidades
http://periodicos.unb.br/index.php/ripe/oai?verb=ListSets	Revista Interdisciplinar de Pesquisa em Engenharia - RIPE
http://periodicos.unb.br/index.php/museologia/oai?verb=ListSets	Revista Museologia & Interdisciplinaridade
http://periodicos.unb.br/index.php/revnegativo/oai?verb=ListSets	Revista Negativo
http://periodicos.unb.br/index.php/noctua/oai?verb=ListSets	Revista Noctua
http://periodicos.unb.br/index.php/perspectivasdodesenvolvimento/oai?verb=ListSets	Revista Perspectivas do Desenvolvimento
http://periodicos.unb.br/index.php/SER_Social/oai?verb=ListSets	Revista SER Social
http://periodicos.unb.br/index.php/resafe/oai?verb=ListSets	Revista Sul-Americana de Filosofia e Educação
http://periodicos.unb.br/index.php/tg/oai?verb=ListSets	Revista Textos Graduados
http://periodicos.unb.br/index.php/revistavis/oai?verb=ListSets	Revista VIS: Revista do Programa de Pós-Graduação em Arte
http://periodicos.unb.br/index.php/revistaXIX/oai?verb=ListSets	Revista XIX: artes e técnicas em transformação
http://periodicos.unb.br/index.php/rp3/oai?verb=ListSets	RP3 - Revista de Pesquisa em Políticas Públicas
http://periodicos.unb.br/index.php/savannahjournal/oai?verb=ListSets	Savannah Journal of Research and Development
http://periodicos.unb.br/index.php/estado/oai?verb=ListSets	Sociedade e Estado
http://periodicos.unb.br/index.php/sust/oai?verb=ListSets	Sustentabilidade em Debate
http://periodicos.unb.br/index.php/textos/oai?verb=ListSets	Textos de História. Revista do Programa de Pós-graduação em História da UnB.
http://periodicos.unb.br/index.php/traduzires/oai?verb=ListSets	Traduzires
http://www.uel.br/revistas/uel/index.php/antiteses/oai?verb=ListSets	Antíteses
http://www.uel.br/revistas/uel/index.php/rebrafis/oai?verb=ListSets	ASSOBRAFIR Ciência
http://www.uel.br/revistas/uel/index.php/biosaude/oai?verb=ListSets	Biosaúde
http://www.uel.br/revistas/uel/index.php/boitata/oai?verb=ListSets	Boitata
http://www.uel.br/revistas/uel/index.php/boitata/oai?verb=ListSets	Boitatá
http://www.uel.br/revistas/uel/index.php/discursosfotograficos/oai?verb=ListSets	Discursos Fotográficos
http://www.uel.br/revistas/uel/index.php/dominiosdaimagem/oai?verb=ListSets	Domínios da Imagem
http://www.uel.br/revistas/uel/index.php/ecoreg/oai?verb=ListSets	Economia & Região
http://www.uel.br/revistas/uel/index.php/educanalise/oai?verb=ListSets	Educação em Análise
http://www.uel.br/revistas/uel/index.php/entretextos/oai?verb=ListSets	Entretextos
http://www.uel.br/revistas/uel/index.php/estacaoliteraria/oai?verb=ListSets	Estação Literária
http://www.uel.br/revistas/uel/index.php/eip/oai?verb=ListSets	Estudos Interdisciplinares em Psicologia
http://www.uel.br/revistas/uel/index.php/geografia/oai?verb=ListSets	GEOGRAFIA (Londrina)
http://www.uel.br/revistas/uel/index.php/Geographia/oai?verb=ListSets	Geographia Opportuno Tempore
http://www.uel.br/revistas/uel/index.php/histensino/oai?verb=ListSets	História & Ensino
http://www.uel.br/revistas/uel/index.php/informacao/oai?verb=ListSets	Informação & Informação
